,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
FLAG_DOCUMENT_3,0.045056876970024584,0.011816842,9.0,10.0,9.5,True
EXT_SOURCE_1_isnan,0.039109168866641175,0.013474254,14.0,8.0,11.0,True
FE_cc_utilization,0.0399070175603613,0.01175944,13.0,11.0,12.0,True
NAME_EDUCATION_TYPE,0.03148360542350748,0.017741496,20.0,4.0,12.0,True
FE_ext_mean,0.023633987349541474,0.061372176,23.0,1.0,12.0,True
FE_ext_min,0.022034146765148588,0.019960178,26.0,3.0,14.5,True
FE_ext23_prod,0.020875731782503015,0.038842764,29.0,2.0,15.5,True
CODE_GENDER,0.017207164184843027,0.017184515,37.0,5.0,21.0,True
FE_ext_max,0.01694183259621962,0.016961707,38.0,6.0,22.0,True
FE_NAME_FAMILY_STATUS_freq,0.033952891748667335,0.007758462,18.0,27.0,22.5,True
FE_ext13_prod,0.01854161590531045,0.010404062,34.0,14.0,24.0,True
FE_annuity_credit_ratio,0.01927803844545073,0.009744317,33.0,16.0,24.5,True
FE_NAME_EDUCATION_TYPE_freq,0.03174050641689785,0.007093404,19.0,32.0,25.5,True
REGION_RATING_CLIENT,0.021621452522609275,0.008287453,27.0,24.0,25.5,True
FLAG_OWN_CAR,0.01586182686101134,0.010879942,39.0,13.0,26.0,True
OWN_CAR_AGE,0.022977865458272184,0.007263249,25.0,30.0,27.5,True
FE_cc_count,0.04640615803098669,0.0056804796,2.0,61.0,31.5,True
FE_credit_goods_ratio,0.006309145005064298,0.010364901,59.0,15.0,37.0,True
FE_bureau_C_ratio,0.04598080956890338,0.0053099426,3.0,75.0,39.0,True
NAME_INCOME_TYPE,0.023539118125496472,0.00584304,24.0,55.0,39.5,True
FE_cc_drawings_mean,0.004661793483154764,0.011635562,67.0,12.0,39.5,True
FLAG_EMP_PHONE,0.04398378646687129,0.0054649175,11.0,70.0,40.5,True
FLOORSMAX_AVG,0.019909255214800137,0.005963271,31.0,53.0,42.0,True
FE_inst_late_rate,0.003817151106680461,0.014703166,79.0,7.0,43.0,True
DAYS_EMPLOYED,0.0054578898051460545,0.008815953,65.0,22.0,43.5,True
AMT_ANNUITY,0.012361081358273296,0.0065698335,48.0,43.0,45.5,True
FE_prev_refused_rate,0.0032521295951117857,0.012024395,83.0,9.0,46.0,True
EXT_SOURCE_1,0.01793714559726234,0.0057584355,36.0,59.0,47.5,True
FE_bureau_closed_count,0.0054595469817950715,0.0071963393,64.0,31.0,47.5,True
FE_ORGANIZATION_TYPE_target_enc,0.003966482206230637,0.0092284065,78.0,17.0,47.5,True
FE_ext12_prod,0.014974081002817607,0.005799448,41.0,57.0,49.0,True
FE_credit_goods_diff,0.003544294250018787,0.008861796,82.0,21.0,51.5,True
FE_prev_approved_rate,0.003782852948948534,0.008179254,80.0,25.0,52.5,True
FE_bureau_active_count,0.004557179797026745,0.0068481923,69.0,37.0,53.0,True
FLAG_WORK_PHONE,0.0056682393142988285,0.0063333693,63.0,45.0,54.0,True
EXT_SOURCE_3,0.01495514799389408,0.005591586,42.0,66.0,54.0,True
AMT_CREDIT,0.007424738945326359,0.0057999254,54.0,56.0,55.0,True
FE_annuity_income_ratio,0.005758042138313879,0.0061286725,62.0,48.0,55.0,True
EXT_SOURCE_2,0.012210410983656272,0.00565564,49.0,63.0,56.0,True
DAYS_BIRTH,0.004227308288162979,0.0067772986,73.0,39.0,56.0,True
FE_bureau_max_streak,0.04505540681309661,0.0045977547,10.0,103.0,56.5,True
FE_bureau_credit_max,0.0028201805916672207,0.007934468,88.0,26.0,57.0,True
FE_cc_balance_mean,0.0024476596430589304,0.009069376,95.0,20.0,57.5,True
FE_bureau_dpd_mean,0.04529702043233108,0.0044689574,8.0,110.0,59.0,True
FE_NAME_HOUSING_TYPE_freq,0.03767316710372359,0.0045940722,15.0,104.0,59.5,True
FE_bureau_X_ratio,0.045574870854940164,0.0043237973,6.0,114.0,60.0,True
NAME_HOUSING_TYPE,0.04253736415290854,0.0045200577,12.0,108.0,60.0,True
FE_OCCUPATION_TYPE_target_enc,0.004823023503407686,0.0058645313,66.0,54.0,60.0,True
NAME_CONTRACT_TYPE,0.002607264501331308,0.0076478887,92.0,29.0,60.5,True
FE_employment_ratio,0.00429641800895153,0.00608673,72.0,51.0,61.5,True
FLAG_PHONE,0.010640047074541359,0.005348797,51.0,73.0,62.0,True
FE_bureau_dpd_max,0.045513192984010686,0.004210042,7.0,119.0,63.0,True
FE_inst_days_diff_max,0.0026268283535142434,0.0068104933,91.0,38.0,64.5,True
FE_credit_income_ratio,0.004443395129640537,0.0057250476,70.0,60.0,65.0,True
APARTMENTS_AVG,0.013713482162051038,0.0048932075,44.0,87.0,65.5,True
FE_pos_sk_dpd_def_mean,0.002383495256287782,0.0068985047,96.0,35.0,65.5,True
FE_inst_payment_diff_mean,0.0017249820301381558,0.009071911,112.0,19.0,65.5,True
FE_prev_approved_last3,0.002892107207029815,0.006119757,86.0,49.0,67.5,True
DEF_30_CNT_SOCIAL_CIRCLE,0.0016352436726050357,0.009168668,117.0,18.0,67.5,True
BASEMENTAREA_AVG,0.015461157109326384,0.0046970956,40.0,95.0,67.5,True
EXT_SOURCE_3_isnan,0.005828919300701285,0.005342532,61.0,74.0,67.5,True
YEARS_BEGINEXPLUATATION_AVG,0.01308997888961727,0.004781049,46.0,90.0,68.0,True
NAME_FAMILY_STATUS,0.014758941916429347,0.0047142752,43.0,94.0,68.5,True
YEARS_BUILD_AVG,0.02131581400276139,0.0044914787,28.0,109.0,68.5,True
FE_cc_dpd_mean,0.045949292338424375,0.0037244237,4.0,136.0,70.0,True
TOTALAREA_MODE,0.007219628881113271,0.005064583,56.0,84.0,70.0,True
LIVINGAREA_AVG,0.008110911698693934,0.00487494,53.0,88.0,70.5,True
LANDAREA_AVG,0.011593972163066013,0.0047647143,50.0,92.0,71.0,True
FE_pos_count,0.0020184813435739635,0.0067648627,102.0,40.0,71.0,True
WALLSMATERIAL_MODE,0.035377698619622144,0.0040135225,16.0,127.0,71.5,True
CNT_FAM_MEMBERS,0.018092303790325337,0.0043987907,35.0,111.0,73.0,True
ENTRANCES_AVG,0.013316251703985316,0.004617652,45.0,101.0,73.0,True
NAME_TYPE_SUITE,0.031187090686527474,0.0040177945,21.0,126.0,73.5,True
FLAG_CONT_MOBILE,0.047975278435707036,0.0026430534,1.0,147.0,74.0,True
FE_NAME_INCOME_TYPE_freq,0.020319765752882413,0.0042347875,30.0,118.0,74.0,True
DEF_60_CNT_SOCIAL_CIRCLE,0.0016654748501072625,0.0070638172,116.0,33.0,74.5,True
FE_pos_months_balance_mean,0.001970998698588966,0.0062201684,103.0,47.0,75.0,True
FE_bureau_credit_mean,0.0017326195158180457,0.0067563266,110.0,42.0,76.0,True
FE_ORGANIZATION_TYPE_freq,0.012649186260902168,0.0045761457,47.0,105.0,76.0,True
OCCUPATION_TYPE,0.01932285007768142,0.004190898,32.0,121.0,76.5,True
