,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
V201,0.10901952270959425,0.015708294,39.0,8.0,23.5,True
V149,0.13466724448354728,0.004438681,10.0,37.0,23.5,True
V67,0.12567289019900452,0.00467799,18.0,35.0,26.5,True
V87,0.12458808949032796,0.0031886015,20.0,60.0,40.0,True
V157,0.13687215143174225,0.0027184049,7.0,75.0,41.0,True
V258,0.08660937305095406,0.10665003,92.0,1.0,46.5,True
card6,0.09206746627084794,0.011112312,80.0,15.0,47.5,True
V261,0.09356240282589967,0.0053035724,70.0,28.0,49.0,True
V45,0.09171061012345028,0.007720829,81.0,17.0,49.0,True
V83,0.09672413975185845,0.0037986208,63.0,42.0,52.5,True
D6_isnan,0.09336640013157549,0.0038320918,72.0,41.0,56.5,True
V47,0.1126440271951773,0.0020709625,31.0,107.0,69.0,True
id_17,0.11057787755637616,0.0021007636,36.0,103.0,69.5,True
V62,0.09916828906275121,0.00256043,59.0,82.0,70.5,True
D2_isnan,0.06908137302839745,0.016417041,134.0,7.0,70.5,True
ProductCD,0.0838906824072485,0.0036423113,99.0,46.0,72.5,True
V290,0.0928250688999459,0.0026819143,77.0,77.0,77.0,True
FE_D9_normalized,0.10822543414546493,0.002029856,41.0,113.0,77.0,True
V69,0.03833842418960476,0.057289023,154.0,2.0,78.0,True
V12,0.08744534983294616,0.0030102246,90.0,66.0,78.0,True
V35,0.09263165563964892,0.0025273224,78.0,83.0,80.5,True
R_emaildomain,0.09430774177527201,0.0022410322,68.0,94.0,81.0,True
V187,0.033252861801309264,0.02350077,159.0,5.0,82.0,True
V23,0.13169542643498022,0.0016439358,11.0,153.0,82.0,True
D5_isnan,0.07867099285551071,0.0033383905,112.0,54.0,83.0,True
V19,0.09323522373344384,0.0023130174,73.0,93.0,83.0,True
V55,0.09400003589397832,0.002152176,69.0,100.0,84.5,True
D3_isnan,0.06078562548845112,0.005059493,140.0,31.0,85.5,True
V56,0.11500179440092428,0.0017196434,27.0,144.0,85.5,True
M4,0.0462994569646904,0.0063815163,147.0,24.0,85.5,True
V230,0.07795581265433493,0.0030914322,114.0,63.0,88.5,True
V48,0.02581334185764872,0.011760863,169.0,14.0,91.5,True
M5,0.0570412603261401,0.0037723114,142.0,43.0,92.5,True
V91,0.021817317895569177,0.015515334,176.0,9.0,92.5,True
V228,0.09816038240251679,0.0018860779,60.0,126.0,93.0,True
card3,0.07980713310013832,0.0025772883,108.0,81.0,94.5,True
id_32,0.07435992549645842,0.002973307,122.0,67.0,94.5,True
id_38,0.09028891131900796,0.0020544964,83.0,108.0,95.5,True
V54,0.04590814805587007,0.003664258,148.0,45.0,96.5,True
V53,0.08814958718941412,0.002074316,88.0,106.0,97.0,True
V221,0.07215592857764164,0.0028190997,129.0,70.0,99.5,True
id_01,0.06682278754435145,0.0031224098,137.0,62.0,99.5,True
FE_R_email_high_risk,0.0156631817374544,0.014300376,189.0,12.0,100.5,True
V283,0.024650366264541423,0.0047927503,171.0,34.0,102.5,True
V20,0.0967845121144193,0.0017218789,62.0,143.0,102.5,True
V29,0.03798262152526788,0.0035363082,155.0,50.0,102.5,True
M6,0.034107751594120383,0.003540018,158.0,49.0,103.5,True
FE_month,0.02696631645655123,0.004133363,167.0,40.0,103.5,True
D4_isnan,0.026177243999562227,0.004204894,168.0,39.0,103.5,True
FE_amt_log,0.030012146224513758,0.0036088272,161.0,47.0,104.0,True
V189,0.11511618481154007,0.001307016,26.0,186.0,106.0,True
